param_gamma,param_kernel,params,mean_test_MAE,rank_test_MAE,mean_test_MSE,rank_test_MSE,mean_test_R2,rank_test_R2
0.1,rbf,"{'gamma': 0.1, 'kernel': 'rbf'}",-0.5302647712260613,1,-0.4864478029900069,1,0.11653649385382775,1
0.5,rbf,"{'gamma': 0.5, 'kernel': 'rbf'}",-0.5338516569141649,2,-0.49096931121911386,2,0.10831673358329319,2
