param_activation,param_alpha,param_hidden_layer_sizes,params,mean_test_Recall,rank_test_Recall,mean_test_Precision,rank_test_Precision,mean_test_F1,rank_test_F1,mean_test_Accuracy,rank_test_Accuracy,mean_test_Balanced accuracy,rank_test_Balanced accuracy,mean_test_AUROC,rank_test_AUROC
tanh,0.0001,"(200, 100)","{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (200, 100)}",0.8794332249809808,3,0.8292065769550746,5,0.8534915631436473,3,0.8490460310045331,3,0.8490367879290869,3,0.9305386582356888,1
tanh,1e-05,"(200, 100)","{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (200, 100)}",0.8792139267353667,4,0.828846290341151,6,0.853192670581175,4,0.8487172999065712,5,0.8487078405606656,5,0.9305178718060021,2
tanh,0.0001,"(200,)","{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (200,)}",0.8763665075961914,5,0.8254734992390668,8,0.8501047047884603,7,0.8454286913041974,7,0.8454200959033589,8,0.9264272844085454,3
tanh,1e-05,"(200,)","{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': (200,)}",0.8761474975217279,6,0.8255920940409656,7,0.8500714043409086,8,0.8454286913041974,7,0.8454202399889342,7,0.9263696490409058,4
relu,1e-05,"(200, 100)","{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (200, 100)}",0.8849130875809762,1,0.8342170982389366,3,0.8587038378363699,2,0.8544178287599339,1,0.854408298176453,1,0.9254240887800714,5
relu,0.0001,"(200, 100)","{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (200, 100)}",0.8849125112386749,2,0.8341972654977576,4,0.8587090399452649,1,0.8544173962190157,2,0.8544080100053023,2,0.9252071148622907,6
relu,1e-05,"(200,)","{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (200,)}",0.8675977476542869,7,0.8365214033807343,1,0.8517119440420696,5,0.8489363818817259,4,0.8489304527745118,4,0.9222146301763122,7
relu,0.0001,"(200,)","{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (200,)}",0.866941293773198,8,0.8358882883783344,2,0.8510816594065803,6,0.8482789196858023,6,0.8482732784655463,6,0.9220616158454092,8
