param_activation,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate,params,mean_test_Recall,rank_test_Recall,mean_test_Precision,rank_test_Precision,mean_test_F1,rank_test_F1,mean_test_Accuracy,rank_test_Accuracy,mean_test_Balanced accuracy,rank_test_Balanced accuracy,mean_test_AUROC,rank_test_AUROC
relu,0.001,64,"(10, 10)",adaptive,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'adaptive'}",0.8614117217898833,47,0.8524173454547991,3,0.8567258577203808,35,0.855905266571097,19,0.855904783256323,19,0.9239563608344987,17
tanh,0.001,16,"(10,)",adaptive,"{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 16, 'hidden_layer_sizes': (10,), 'learning_rate': 'adaptive'}",0.8911303805933852,13,0.8262018952217353,41,0.8573351915491669,31,0.8516435042968424,37,0.8516365971546693,37,0.92377384401046,19
tanh,0.001,16,"(10,)",constant,"{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 16, 'hidden_layer_sizes': (10,), 'learning_rate': 'constant'}",0.8911303805933852,13,0.8262018952217353,41,0.8573351915491669,31,0.8516435042968424,37,0.8516365971546693,37,0.92377384401046,19
tanh,0.001,16,"(10, 10)",adaptive,"{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 16, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'adaptive'}",0.8779752857490273,37,0.8287605680076626,37,0.8524429822729224,45,0.8477467650427408,43,0.8477327220634727,43,0.9231454449892315,21
tanh,0.001,16,"(10, 10)",constant,"{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 16, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'constant'}",0.8779752857490273,37,0.8287605680076626,37,0.8524429822729224,45,0.8477467650427408,43,0.8477327220634727,43,0.9231454449892315,21
tanh,1,64,"(10,)",constant,"{'activation': 'tanh', 'alpha': 1, 'batch_size': 64, 'hidden_layer_sizes': (10,), 'learning_rate': 'constant'}",0.8916177118798638,11,0.8311773296562126,33,0.8601807313536364,15,0.8550533881721164,25,0.8550512410323443,25,0.9228618660926688,23
tanh,1,64,"(10,)",adaptive,"{'activation': 'tanh', 'alpha': 1, 'batch_size': 64, 'hidden_layer_sizes': (10,), 'learning_rate': 'adaptive'}",0.8916177118798638,11,0.8311773296562126,33,0.8601807313536364,15,0.8550533881721164,25,0.8550512410323443,25,0.9228618660926688,23
tanh,0.001,64,"(10,)",adaptive,"{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (10,), 'learning_rate': 'adaptive'}",0.888695624088035,15,0.8248280953906029,43,0.8554912248053295,39,0.8498191002798825,41,0.849812192211819,41,0.922214358758507,25
tanh,0.001,64,"(10,)",constant,"{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (10,), 'learning_rate': 'constant'}",0.888695624088035,15,0.8248280953906029,43,0.8554912248053295,39,0.8498191002798825,41,0.849812192211819,41,0.922214358758507,25
tanh,1,16,"(5,)",constant,"{'activation': 'tanh', 'alpha': 1, 'batch_size': 16, 'hidden_layer_sizes': (5,), 'learning_rate': 'constant'}",0.8821133268482491,27,0.8413456527223917,13,0.8611320401602773,11,0.8576113936484098,9,0.8576104427589981,9,0.9215771993732872,27
tanh,1,16,"(5,)",adaptive,"{'activation': 'tanh', 'alpha': 1, 'batch_size': 16, 'hidden_layer_sizes': (5,), 'learning_rate': 'adaptive'}",0.8821133268482491,27,0.8413456527223917,13,0.8611320401602773,11,0.8576113936484098,9,0.8576104427589981,9,0.9215771993732872,27
relu,1,16,"(5,)",adaptive,"{'activation': 'relu', 'alpha': 1, 'batch_size': 16, 'hidden_layer_sizes': (5,), 'learning_rate': 'adaptive'}",0.8767479328793775,43,0.8441824578565499,7,0.8597651718945155,17,0.8570012837432968,11,0.8569924914883269,11,0.9215097833822947,29
relu,1,16,"(5,)",constant,"{'activation': 'relu', 'alpha': 1, 'batch_size': 16, 'hidden_layer_sizes': (5,), 'learning_rate': 'constant'}",0.8767479328793775,43,0.8441824578565499,7,0.8597651718945155,17,0.8570012837432968,11,0.8569924914883269,11,0.9215097833822947,29
tanh,0.001,64,"(5,)",constant,"{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (5,), 'learning_rate': 'constant'}",0.8867510487597277,19,0.8358430385476038,25,0.8604606569413651,13,0.8561508275119273,15,0.8561498738448443,15,0.9212864698758214,31
tanh,0.001,64,"(5,)",adaptive,"{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (5,), 'learning_rate': 'adaptive'}",0.8867510487597277,19,0.8358430385476038,25,0.8604606569413651,13,0.8561508275119273,15,0.8561498738448443,15,0.9212864698758214,31
