param_max_depth,param_n_estimators,params,mean_test_MAE,rank_test_MAE,mean_test_MSE,rank_test_MSE,mean_test_RMSE,rank_test_RMSE,mean_test_R2,rank_test_R2
,900,"{'max_depth': None, 'n_estimators': 900}",-0.36962970971191506,2,-0.25579560823725755,1,-0.5057454994456543,1,0.5351297318995989,1
20,900,"{'max_depth': 20, 'n_estimators': 900}",-0.3695979395725066,1,-0.25586501081280594,2,-0.5058139461881572,2,0.5350030979960184,2
10,900,"{'max_depth': 10, 'n_estimators': 900}",-0.3717633484641599,5,-0.256975220515813,3,-0.5069066531224258,3,0.5329748576034135,3
20,500,"{'max_depth': 20, 'n_estimators': 500}",-0.3708706445045531,3,-0.2571753104684287,4,-0.5071126079935449,4,0.5326397980467493,4
,500,"{'max_depth': None, 'n_estimators': 500}",-0.3710055912947502,4,-0.2572970166854165,5,-0.5072331722020545,5,0.5324208882445339,5
10,500,"{'max_depth': 10, 'n_estimators': 500}",-0.3729011229628897,7,-0.25806554182827096,6,-0.5079860003597045,6,0.531009270366032,6
20,100,"{'max_depth': 20, 'n_estimators': 100}",-0.37248090596238503,6,-0.26003217082097996,7,-0.5098897197794877,7,0.5273641208849419,7
,100,"{'max_depth': None, 'n_estimators': 100}",-0.3729524819367141,8,-0.26053210406536653,8,-0.5103815947040878,8,0.5264594299934141,8
10,100,"{'max_depth': 10, 'n_estimators': 100}",-0.3750987471075673,9,-0.2622208860257973,9,-0.512023865773996,9,0.5233717982998664,9
